Date,Close,Open,High,Low,Volume,Change
01-02-2021,14281.20,13758.60,14336.35,13661.75,870.53M,+4.74%
29-01-2021,13634.60,13946.60,13966.85,13596.75,753.21M,-1.32%
28-01-2021,13817.55,13810.40,13898.25,13713.25,637.87M,-1.07%
27-01-2021,13967.50,14237.95,14237.95,13929.30,660.71M,-1.91%
25-01-2021,14238.90,14477.80,14491.10,14218.60,618.63M,-0.93%
22-01-2021,14371.90,14583.40,14619.90,14357.75,776.75M,-1.50%
21-01-2021,14590.35,14730.95,14753.55,14517.25,704.65M,-0.37%
20-01-2021,14644.70,14538.30,14666.45,14517.55,623.07M,+0.85%
19-01-2021,14521.15,14371.65,14546.05,14350.85,546.11M,+1.68%
18-01-2021,14281.30,14453.30,14459.15,14222.80,762.04M,-1.06%
15-01-2021,14433.70,14594.35,14617.45,14357.85,789.56M,-1.11%
14-01-2021,14595.60,14550.05,14617.80,14471.50,620.20M,+0.21%
13-01-2021,14564.85,14639.80,14653.35,14435.70,873.96M,+0.01%
12-01-2021,14563.45,14473.80,14590.65,14432.85,929.57M,+0.54%
11-01-2021,14484.75,14474.05,14498.20,14383.10,672.88M,+0.96%
08-01-2021,14347.25,14258.40,14367.30,14221.65,613.47M,+1.48%
07-01-2021,14137.35,14253.75,14256.25,14123.10,559.17M,-0.06%
06-01-2021,14146.25,14240.95,14244.15,14039.90,632.32M,-0.38%
05-01-2021,14199.50,14075.15,14215.60,14048.15,492.48M,+0.47%
04-01-2021,14132.90,14104.35,14147.95,13953.75,495.00M,+0.82%
01-01-2021,14018.50,13996.10,14049.85,13991.35,258.09M,+0.26%
31-12-2020,13981.75,13970.00,14024.85,13936.45,452.41M,0.00%
30-12-2020,13981.95,13980.90,13997.00,13864.95,380.68M,+0.35%
29-12-2020,13932.60,13910.35,13967.60,13859.90,439.59M,+0.43%
28-12-2020,13873.20,13815.15,13885.30,13811.55,403.63M,+0.90%
24-12-2020,13749.25,13672.15,13771.75,13626.90,471.37M,+1.09%
23-12-2020,13601.10,13473.50,13619.45,13432.20,458.65M,+1.00%
22-12-2020,13466.30,13373.65,13492.05,13192.90,696.20M,+1.03%
21-12-2020,13328.40,13741.90,13777.50,13131.45,687.25M,-3.14%
18-12-2020,13760.55,13764.40,13772.85,13658.60,519.39M,+0.14%
17-12-2020,13740.70,13713.55,13773.25,13673.55,416.01M,+0.42%
16-12-2020,13682.70,13663.10,13692.35,13606.45,462.15M,+0.85%
15-12-2020,13567.85,13547.20,13589.65,13447.05,497.60M,+0.07%
14-12-2020,13558.15,13571.45,13597.50,13472.45,558.39M,+0.33%
11-12-2020,13513.85,13512.30,13579.35,13402.85,787.71M,+0.26%
10-12-2020,13478.30,13488.50,13503.55,13399.30,553.40M,-0.38%
09-12-2020,13529.10,13458.10,13548.90,13449.60,502.60M,+1.02%
08-12-2020,13392.95,13393.85,13435.45,13311.05,543.16M,+0.28%
07-12-2020,13355.75,13264.85,13366.65,13241.95,591.72M,+0.73%
04-12-2020,13258.55,13177.40,13280.05,13152.85,640.51M,+0.95%
03-12-2020,13133.90,13215.30,13216.60,13107.90,713.69M,+0.15%
02-12-2020,13113.75,13121.40,13128.50,12983.55,717.71M,+0.04%
01-12-2020,13109.05,13062.20,13128.40,12962.80,583.63M,+1.08%
27-11-2020,12968.95,13012.05,13035.30,12914.30,1.16B,-0.14%
26-11-2020,12987.00,12906.45,13018.00,12790.40,549.80M,+1.00%
25-11-2020,12858.40,13130.00,13145.85,12833.65,679.01M,-1.51%
24-11-2020,13055.15,13002.60,13079.10,12978.00,571.87M,+1.00%
23-11-2020,12926.45,12960.30,12968.85,12825.70,633.12M,+0.52%
20-11-2020,12859.05,12813.40,12892.45,12730.25,664.00M,+0.68%
19-11-2020,12771.70,12839.50,12963.00,12745.75,768.75M,-1.29%
18-11-2020,12938.25,12860.10,12948.85,12819.35,731.32M,+0.50%
17-11-2020,12874.20,12932.50,12934.05,12797.10,707.68M,+0.74%
14-11-2020,12780.25,12823.35,12828.70,12749.45,107.87M,+0.47%
13-11-2020,12719.95,12659.70,12735.95,12607.70,513.95M,+0.23%
12-11-2020,12690.80,12702.15,12741.15,12624.85,622.02M,-0.46%
11-11-2020,12749.15,12680.60,12769.75,12571.10,880.48M,+0.93%
10-11-2020,12631.10,12556.40,12643.90,12475.25,847.45M,+1.36%
09-11-2020,12461.05,12399.40,12474.05,12367.35,553.45M,+1.61%
06-11-2020,12263.55,12156.65,12280.40,12131.85,576.84M,+1.18%
05-11-2020,12120.30,12062.40,12131.10,12027.60,632.45M,+1.78%
04-11-2020,11908.50,11783.35,11929.65,11756.40,667.29M,+0.80%
03-11-2020,11813.50,11734.45,11836.20,11723.30,674.30M,+1.24%
02-11-2020,11669.15,11697.35,11725.65,11557.40,568.43M,+0.23%
30-10-2020,11642.40,11678.45,11748.95,11535.45,553.67M,-0.24%
29-10-2020,11670.80,11633.30,11744.15,11606.45,554.96M,-0.50%
28-10-2020,11729.60,11922.60,11929.40,11684.85,704.02M,-1.34%
27-10-2020,11889.40,11807.10,11899.05,11723.00,616.32M,+1.03%
26-10-2020,11767.75,11937.40,11942.85,11711.70,519.82M,-1.36%
23-10-2020,11930.35,11957.90,11974.55,11908.75,502.34M,+0.28%
22-10-2020,11896.45,11890.00,11939.55,11823.45,544.90M,-0.35%
21-10-2020,11937.65,11958.55,12018.65,11775.75,623.66M,+0.34%
20-10-2020,11896.80,11861.00,11949.25,11837.25,453.56M,+0.20%
19-10-2020,11873.05,11879.20,11898.25,11820.40,541.42M,+0.94%
16-10-2020,11762.45,11727.40,11789.75,11667.85,555.76M,+0.70%
15-10-2020,11680.35,12023.45,12025.45,11661.30,608.87M,-2.43%
14-10-2020,11971.05,11917.40,11997.20,11822.15,569.24M,+0.31%
13-10-2020,11934.50,11934.65,11988.20,11888.90,458.30M,+0.03%
12-10-2020,11930.95,11973.55,12022.05,11867.20,522.63M,+0.14%
09-10-2020,11914.20,11852.05,11938.60,11805.20,611.08M,+0.67%
08-10-2020,11834.60,11835.40,11905.70,11791.15,608.77M,+0.82%
07-10-2020,11738.85,11679.25,11763.05,11629.35,513.37M,+0.66%
06-10-2020,11662.40,11603.45,11680.30,11564.30,561.44M,+1.38%
05-10-2020,11503.35,11487.80,11578.05,11452.30,530.60M,+0.76%
01-10-2020,11416.95,11364.45,11428.60,11347.05,447.74M,+1.51%
30-09-2020,11247.55,11244.45,11295.40,11184.55,499.34M,+0.22%
29-09-2020,11222.40,11288.60,11305.40,11181.00,498.30M,-0.05%
28-09-2020,11227.55,11140.85,11239.35,11099.85,472.78M,+1.60%
25-09-2020,11050.25,10910.40,11072.60,10854.85,559.60M,+2.26%
24-09-2020,10805.55,11011.00,11015.30,10790.20,706.14M,-2.93%
23-09-2020,11131.85,11258.75,11259.55,11024.40,714.93M,-0.20%
22-09-2020,11153.65,11301.75,11302.20,11084.65,672.25M,-0.86%
21-09-2020,11250.55,11503.80,11535.25,11218.50,602.85M,-2.21%
18-09-2020,11504.95,11584.10,11584.10,11446.10,764.15M,-0.10%
17-09-2020,11516.10,11539.40,11587.20,11498.50,517.73M,-0.76%
16-09-2020,11604.55,11538.45,11618.10,11516.75,527.80M,+0.72%
15-09-2020,11521.80,11487.20,11535.95,11442.25,506.67M,+0.71%
14-09-2020,11440.05,11540.15,11568.90,11383.55,642.27M,-0.21%
11-09-2020,11464.45,11447.80,11493.50,11419.90,554.79M,+0.13%
10-09-2020,11449.25,11363.30,11464.05,11327.40,679.42M,+1.52%
09-09-2020,11278.00,11218.60,11298.15,11185.15,728.88M,-0.35%
08-09-2020,11317.35,11378.55,11437.25,11290.45,572.24M,-0.33%
07-09-2020,11355.05,11359.60,11381.15,11251.70,560.32M,+0.19%
04-09-2020,11333.85,11354.40,11452.05,11303.65,681.34M,-1.68%
03-09-2020,11527.45,11566.20,11584.95,11507.65,607.12M,-0.07%
02-09-2020,11535.00,11478.55,11554.75,11430.40,593.49M,+0.56%
01-09-2020,11470.25,11464.30,11553.55,11366.90,783.77M,+0.73%
31-08-2020,11387.50,11777.55,11794.25,11325.85,1.37B,-2.23%
28-08-2020,11647.60,11602.95,11686.05,11589.40,807.00M,+0.76%
27-08-2020,11559.25,11609.30,11617.35,11540.60,719.78M,+0.08%
26-08-2020,11549.60,11512.85,11561.75,11461.85,743.44M,+0.67%
25-08-2020,11472.25,11513.10,11525.90,11423.35,638.15M,+0.05%
24-08-2020,11466.45,11412.00,11497.25,11410.65,532.90M,+0.83%
21-08-2020,11371.60,11409.65,11418.50,11362.20,668.72M,+0.53%
20-08-2020,11312.20,11317.45,11361.45,11289.80,791.59M,-0.84%
19-08-2020,11408.40,11452.15,11460.35,11394.10,626.22M,+0.20%
18-08-2020,11385.35,11259.80,11401.70,11253.15,579.24M,+1.23%
17-08-2020,11247.10,11248.90,11267.10,11144.50,633.96M,+0.61%
14-08-2020,11178.40,11353.30,11366.25,11111.45,645.11M,-1.08%
13-08-2020,11300.45,11334.85,11359.30,11269.95,562.36M,-0.07%
12-08-2020,11308.40,11289.00,11322.00,11242.65,609.86M,-0.12%
11-08-2020,11322.50,11322.25,11373.60,11299.15,586.08M,+0.46%
10-08-2020,11270.15,11270.25,11337.30,11238.00,492.00M,+0.50%
07-08-2020,11214.05,11186.65,11231.90,11142.05,452.63M,+0.12%
06-08-2020,11200.15,11185.70,11256.80,11127.30,600.37M,+0.89%
05-08-2020,11101.65,11155.75,11225.65,11064.05,667.64M,+0.06%
04-08-2020,11095.25,10946.65,11112.25,10908.10,625.74M,+1.87%
03-08-2020,10891.60,11057.55,11058.05,10882.25,680.93M,-1.64%
31-07-2020,11073.45,11139.50,11150.40,11026.65,642.56M,-0.26%
30-07-2020,11102.15,11254.30,11299.95,11084.95,677.76M,-0.90%
